39.161,39.191,39.261,39.281,39.31,39.355,39.66,39.62,39.564,39.491,39.306,39.221,39.153,39.101,39.287,39.286,39.327,39.395,39.581,39.251,39.272,39.311,39.348,39.348,39.326,39.312,39.312,39.312,39.312,39.312
40.155,40.184,40.252,40.272,40.3,40.343,40.638,40.599,40.544,40.474,40.295,40.213,40.147,40.097,40.277,40.276,40.315,40.382,40.561,40.242,40.263,40.301,40.336,40.336,40.314,40.301,40.301,40.301,40.301,40.301
41.15,41.178,41.243,41.262,41.289,41.331,41.616,41.578,41.525,41.458,41.285,41.206,41.142,41.094,41.267,41.267,41.304,41.368,41.542,41.234,41.254,41.29,41.324,41.324,41.303,41.291,41.291,41.291,41.291,41.291
42.145,42.172,42.235,42.253,42.279,42.319,42.595,42.559,42.507,42.442,42.275,42.198,42.137,42.091,42.258,42.257,42.294,42.356,42.524,42.226,42.245,42.28,42.313,42.313,42.293,42.281,42.281,42.281,42.281,42.281
43.14,43.166,43.227,43.245,43.27,43.308,43.575,43.54,43.49,43.427,43.266,43.192,43.133,43.088,43.249,43.249,43.284,43.344,43.506,43.218,43.237,43.271,43.303,43.303,43.283,43.271,43.271,43.271,43.271,43.271
44.135,44.16,44.219,44.236,44.261,44.298,44.555,44.521,44.474,44.413,44.257,44.185,44.128,44.085,44.241,44.24,44.274,44.332,44.489,44.211,44.229,44.261,44.292,44.292,44.273,44.262,44.262,44.262,44.262,44.262
45.13,45.155,45.212,45.228,45.252,45.288,45.536,45.504,45.457,45.399,45.248,45.179,45.124,45.082,45.233,45.232,45.265,45.321,45.472,45.204,45.221,45.252,45.282,45.282,45.264,45.253,45.253,45.253,45.253,45.253
46.126,46.149,46.204,46.22,46.243,46.278,46.518,46.487,46.442,46.385,46.24,46.173,46.12,46.079,46.225,46.224,46.256,46.31,46.456,46.197,46.213,46.244,46.273,46.273,46.255,46.244,46.244,46.244,46.244,46.244
47.121,47.144,47.197,47.213,47.235,47.268,47.5,47.47,47.427,47.372,47.231,47.167,47.115,47.076,47.217,47.216,47.247,47.299,47.44,47.19,47.206,47.236,47.263,47.263,47.246,47.236,47.236,47.236,47.236,47.236
48.117,48.139,48.191,48.206,48.227,48.259,48.483,48.454,48.412,48.359,48.223,48.161,48.111,48.074,48.209,48.209,48.239,48.289,48.425,48.183,48.199,48.227,48.254,48.254,48.238,48.228,48.228,48.228,48.228,48.228
49.113,49.135,49.184,49.199,49.219,49.25,49.467,49.438,49.398,49.347,49.216,49.156,49.108,49.071,49.202,49.202,49.23,49.279,49.411,49.177,49.192,49.22,49.246,49.246,49.23,49.22,49.22,49.22,49.22,49.22
50.109,50.13,50.178,50.192,50.211,50.242,50.451,50.423,50.384,50.335,50.208,50.15,50.104,50.069,50.195,50.195,50.222,50.269,50.397,50.171,50.185,50.212,50.237,50.237,50.222,50.212,50.212,50.212,50.212,50.212
51.106,51.125,51.172,51.185,51.204,51.233,51.435,51.409,51.371,51.323,51.201,51.145,51.1,51.066,51.188,51.188,51.215,51.26,51.383,51.165,51.179,51.205,51.229,51.229,51.214,51.205,51.205,51.205,51.205,51.205
52.102,52.121,52.165,52.178,52.197,52.225,52.42,52.394,52.358,52.312,52.194,52.14,52.097,52.064,52.182,52.181,52.207,52.251,52.369,52.159,52.173,52.197,52.221,52.221,52.207,52.198,52.198,52.198,52.198,52.198
53.098,53.117,53.16,53.172,53.19,53.217,53.405,53.38,53.345,53.301,53.187,53.135,53.093,53.062,53.175,53.175,53.2,53.242,53.356,53.154,53.166,53.19,53.213,53.213,53.199,53.191,53.191,53.191,53.191,53.191
54.095,54.113,54.154,54.166,54.183,54.209,54.391,54.367,54.333,54.29,54.18,54.13,54.09,54.059,54.169,54.169,54.193,54.233,54.344,54.148,54.161,54.184,54.205,54.205,54.192,54.184,54.184,54.184,54.184,54.184
55.091,55.108,55.148,55.16,55.177,55.202,55.377,55.354,55.321,55.28,55.174,55.125,55.087,55.057,55.163,55.163,55.186,55.225,55.331,55.143,55.155,55.177,55.198,55.198,55.185,55.177,55.177,55.177,55.177,55.177
56.088,56.104,56.143,56.154,56.17,56.194,56.363,56.341,56.309,56.27,56.168,56.121,56.084,56.055,56.157,56.157,56.179,56.217,56.319,56.138,56.149,56.171,56.191,56.191,56.178,56.171,56.171,56.171,56.171,56.171
57.085,57.101,57.138,57.148,57.164,57.187,57.349,57.328,57.298,57.26,57.161,57.116,57.08,57.053,57.151,57.151,57.172,57.209,57.307,57.132,57.144,57.164,57.184,57.184,57.172,57.165,57.165,57.165,57.165,57.165
58.081,58.097,58.132,58.143,58.158,58.18,58.336,58.316,58.287,58.25,58.155,58.112,58.077,58.051,58.146,58.145,58.166,58.201,58.296,58.127,58.138,58.158,58.177,58.177,58.165,58.158,58.158,58.158,58.158,58.158
59.078,59.093,59.127,59.137,59.152,59.173,59.323,59.304,59.276,59.24,59.149,59.108,59.074,59.049,59.14,59.14,59.159,59.193,59.284,59.123,59.133,59.152,59.17,59.17,59.159,59.152,59.152,59.152,59.152,59.152
60.075,60.089,60.122,60.132,60.146,60.166,60.311,60.292,60.265,60.231,60.143,60.103,60.072,60.047,60.134,60.134,60.153,60.186,60.273,60.118,60.128,60.146,60.163,60.163,60.153,60.146,60.146,60.146,60.146,60.146
61.072,61.086,61.117,61.127,61.14,61.16,61.298,61.28,61.254,61.222,61.138,61.099,61.069,61.045,61.129,61.129,61.147,61.178,61.262,61.113,61.123,61.14,61.157,61.157,61.147,61.14,61.14,61.14,61.14,61.14
62.069,62.082,62.113,62.122,62.134,62.153,62.286,62.269,62.244,62.213,62.132,62.095,62.066,62.044,62.124,62.124,62.141,62.171,62.252,62.108,62.118,62.135,62.15,62.15,62.141,62.135,62.135,62.135,62.135,62.135
63.066,63.079,63.108,63.117,63.129,63.147,63.274,63.258,63.234,63.204,63.127,63.091,63.063,63.042,63.119,63.118,63.135,63.164,63.241,63.104,63.113,63.129,63.144,63.144,63.135,63.129,63.129,63.129,63.129,63.129
64.064,64.076,64.103,64.112,64.123,64.141,64.263,64.247,64.224,64.195,64.121,64.087,64.06,64.04,64.114,64.113,64.129,64.157,64.231,64.099,64.108,64.123,64.138,64.138,64.129,64.124,64.124,64.124,64.124,64.124
65.061,65.072,65.099,65.107,65.118,65.135,65.251,65.236,65.214,65.187,65.116,65.084,65.058,65.038,65.109,65.108,65.124,65.15,65.221,65.095,65.103,65.118,65.132,65.132,65.123,65.118,65.118,65.118,65.118,65.118
